Identifier,Title,Date of Publication,Place of Publication
1565531,Voyages of the Elizabethan Seamen to America ... Edited by E. J. Payne ... Second edition: Principall Navigations,1893,Oxford
1565534,"Voyages of the Elizabethan Seamen to America ... Edited by Edward John Payne ... Second edition. (With additional notes, maps, etc., by C. Raymond Beazley. First series ... Hawkins, Frobisher, Drake.): Principall Navigations",1893,Oxford
1565888,"Incerti auctoris saec. XIII. chronicon Halberstadense, inde ab a. 780 usque a. 1209. Aus der Halberstädtischen Handschrift herausgegeben von Dr W. Schatz. Programm des Domgymnasiums zu Halberstadt womit zu der öffentlichen Prüfung derdrei obern Klassen am 21 März 1839, ergebenst einladet Dr F. K. H. Maass",1839,Halberstadt
1566648,"A Family Flight over Egypt and Syria, etc. Second edition",1882,Boston Mass.
1567743,Notes et Souvenirs. De Mai à Décembre 1871. [Illustrated by Jules Girardet.],1888,Paris
1568039,"“The Holy Land of Punt.” Racial Dwarfs in the Atlas and the Pyrenees, etc",1893,London
1568080,"The Scandinavian Kingdom of Dublin ... Edited, with some notice of the author's life, by J. P. Prendergast",1882,Dublin
1568420,Humanity: a sporting and military story from the ... drama by S. Vane. Novelized by A. D. Hall,1897,London
1568635,Pilgrimages to English Shrines ... With notes and illustrations by F. W. Fairholt,1850,London
1568636,Second series: Pilgrimages to English Shrines ... With notes and illustrations by F. W. Fairholt,1853,London
1569071,"Life with the Esquimaux: the narrative of Captain C. F. H. ... from the 29th May, 1860, to the 13th Sept., 1862. With ... the discovery of actual relics of Martin Frobisher ... and deductions in favour of yet discovering some of the survivors of Sir J. Franklin's Expedition. With maps and ... illustrations",1864,London
1569074,"Deux ans chez les Esquimaux. Voyage de découvertes et d'aventures, abrégé [from “Life with the Esquimaux”] par Mme. H. Loreau",1880,Paris
1569903,"On the Catholic claims. A Letter to J. B. S. Morritt, Esq. occasioned by his Letter to R. Bethell, Esq",1826,Leeds
1570075,"The English Historical Review and the Red Book of the Exchequer. [A letter addressed to S. R. Gardiner, editor of the “English Historical Review,” defending the author's edition of the Red Book, against criticisms by R. L. Poole in the Review.]",1899,London
1570673,"Satires and other poems. [Edited by P. H., i.e. Peter Hall.]: Virgidemiarum",1838,London
1571051,The geisha,1897,enk
1571190,"Essays, Prefaces and Letters",1832,London
1571486,"The Book of South Wales, the Wye, and the Coast. [With illustrations. Reprinted from the “Art Journal.”]",1861,London
1571488,[The book of the Thames.],1877,London
1571491,"Ireland: its Scenery, Character, etc",1841,London
1571493,"Tenby; its history, antiquities, scenery, traditions and customs",1860,Tenby
1571495,A Week at Killarney,1843,London
1571496,[A Week at Killarney.],1850,London
1571497,[A Week at Killarney.],1858,London
1572135,"The Poems of A. H. Hallam, together with his Essay on the Lyrical Poems of Alfred Tennyson. Edited, with an introduction, by R. Le Gallienne. L.P",1893,London
1575352,Agatha: a fanciful flight for a gusty night [in prose and verse]. With illustrations on steel and wood by H. K. Browne,1861,London
1577540,"Historia da Revoluçāo Franceza, traduzida e com um prologo por Consiglieri Pedroso. (Traduzida e annotada por este e por J. Carrilho Videira.)",1875,Lisboa
1577638,Tradescant der aeltere in Russland. Der Handelsverkehr zwischen England und Russland in seiner Entstehung. Rückblick auf einige der älteren Reisen im Norden,1847,St. Petersburg
1577639,"England and Russia: comprising the Voyages of J. Tradescant the elder, Sir H. Willoughby, R. Chancellor, Nelson, and others to the White Sea, etc. Translated [from the German] by J. S. Leigh",1854,London
1577824,The History of the Parish of Llangurig. [Extracted partly from “Collections Historical & Archæological relating to Montgomeryshire” and partly from “Archæologia Cambrensis.” With plates.],1875,London
1578041,The Mount: narrative of a visit to the site of a Gaulish city on Mont Beuvray. With a description of the neighbouring city of Autun. [Edited by Mrs. Hamerton.],1897,London
1578053,"The Saône. A summer voyage ... With ... illustrations by J. Pennell, etc",1887,London
1578612,Sketches of life and sport in South-Eastern Africa. Edited by F. G. H. Price. Illustrated by P. Mêjanel,1870,London
1579077,"Bordighera and the Western Riviera ... Translated from the French, with additional matter and notes, by A. C. Dowson",1883,London
1579740,"Poems, essays, and sketches, etc. [Edited by James Hamilton.]",1880,Glasgow
1580354,"[Annals of the Peninsular Campaigns, etc. [By T. H.]]",1849,London
1580364,"Notes of charters, &c., by the Right Honourable Thomas Earl of Melrose, afterwards Earl of Haddington, to the vassals of the baronry of Drem. From 1615 to 1627. [Edited by J. B. Gracie and James Maidment.]",1830,Edinburgh
1580801,Legends of Le Détroit. Illustrated by Miss I. Stuart,1884,Detroit
1580811,"The Horrors of Bribery; a penitential Epistle from P. H., Tinman, to the Rt. Hon. H. Addington, Prime-Minister. To which is added a postscript; containing sensible animadversions on Judge Grose's solemn and serious Address to the unfortunate Tinman. Edited [or rather written] by Peter Pindar [i.e. John Wolcot]",1802,London
1581604,"Der Bardengau, eine historische Untersuchung über dessen Verhältnisse und über den Güterbesitz der Billunger. [With a preface by G. Waitz.]",1869,Hannover
1581735,The Duke of Wellington's Spanish Estate. A personal narrative. vol. 1,1885,London
1582480,"Occasional Poems, first printed 1655. [Edited by S. E. B., i.e. Samuel Egerton Brydges.]",1816,London
1583885,Hanbury Mills. A study of contrasts. By the author of “Lady Betty” [C. R. Coleridge]. With ... illustrations by H. W. Petherick,1872,London
1583968,"Historic Gleanings: viz. extracts from the Registers of the Parish Church of St. Hillary, Wallasey, Cheshire; and transcripts of the Burgess Rolls of Liverpool ... Reprinted from the Transactions of the Historic Society of Lancashire, etc",1886,Liverpool
1584040,Historia de Chile ... Traducida del inglés por J. Casado,1896,Madrid
1584984,"Handley Cross; or, Mr. Jorrocks's Hunt. By the author of “Sponge's Sporting Tour” [R. S. Surtees.] The Jorrocks edition",1892,London
1585437,"Journal of what passed in the Temple Prison during the captivity of Louis the XVI., 1792-3. ... Translated from the original edition, and prefaced by J. Bromfield: [Journal de ce qui s'est passé à la tour du Temple pendant la captivité de Louis XVI.]",1860,London
1586536,"Hannah. By the author of 'John Halifax, Gentleman' [D. M. Mulock, afterwards Craik]",1872,London
1586748,Glimpses of the Land of Scott. [Notes on Scott's life and on the scenes of his poems and novels.] ... Illustrated by J. Macwhirter,1888,London
1587122,"The Periplus of Hannon, King of the Karchedonians, concerning the Libyan parts of the earth beyond the Pillars of Herakles, etc. [Translated into English by C. Simonides, with the addition of spurious matter.] (With annotations and explanatory and corroborative prolegomena, etc.) Gr. and Eng",1864,London
1587200,Jawen Mezula. Schilderung des polnisch-kosakischen Krieges und der Leiden der Juden in Polen während der Jahre 1648-1653. Bericht eines Zeitgenossen (Nathan Neta). Nach einer von J. Lelewel durchgesehenen französischen Uebersetzung herausgegeben von I. J. Benjamin II,1863,Hannover
1587383,La Kabylie et les Coutumes Kabyles,1872,Paris
1587909,"Querétaro. Memorias ... traducidas del frances, con notas y rectificaciones por L. Elizaga. Segunda edicion",1869,México
1589377,"Route of Lieutenant General Sir M. Nightingall, overland from India. In a series of letters",1820,London
1589649,Chronik des Landes Dithmarschen,1833,Hamburg
1590172,"Shueypingsin. A story made from the Chinese romance Haoukewchuen. By an Englishman. [Based on Sir J. F. Davis' translation, entitled: “The Fortunate Union.”]",1899,London
1590175,Sandwich Island Notes. By a Häolé [i.e. G. W. Bates.],1854,New York
1590963,[The Harbour Bar. A tale of Scottish Life. [By Lady Prestwich.]],1876,London
1591341,Notes on a yacht voyage to Hardanger Fjord and the adjacent estuaries. By a Yachting Dabbler [Charles William Rothery]. With numerous illustrations,1855,London
1591389,"[Wanderings in Wensleydale, Yorkshire.]",1887,Ripon
1591766,"Sprays from the Garden: poems, songs and prose sketches ... With introduction by D. H. Edwards",1898,Brechin
1592477,"The War in India. Despatches of ... Visct. H.: ... Lord Gough; ... Sir H. Smith; and other documents; comprizing the engagements of Moodkee, Ferozeshah, Aliwal and Sobraon ... Second edition",1846,London
1593100,"Princess and Priest (a tale of old Egypt), and Mademoiselle Étienne ... With a preface by Professor Sayce",1895,London
1593656,"The literary remains of J. S. H. ... edited ... by J. G. Nichols, etc",1852,Westminster
1594371,"The Miner's Guide, ... Selected, arranged and printed verbatim from the works of Hardy and Houghton. To which is added: a new article and a copy of the Inquisition taken at Ashburn ... in the 16th year of the Reign of King Edward the 1st, etc",1810,Wirksworth
1594428,"The chronicle of J. H., containing an account of public transactions from the earliest period of English History to the beginning of the reign of King Edward the fourth. Together with the continuation by R. Grafton, to the thirty-fourth year of King Henry the Eighth ... To which are added a biographical and literary preface, and an index by H. Ellis",1812,London
1595931,"Sketches written in, round, and about Weymouth, by H [i.e. J. Harker] and B. S. [i.e. Benjamin Sykes.] Third edition",1883,Weymouth
1596236,"[Ballads and Songs of Lancashire chiefly older than the 19th Century. Collected, compiled, and edited, with notes, by J. H., etc. L.P.]",1875,London
1596248,[The Songs of the Wilsons [i.e. of M. T. and A. Wilson]: with a Memoir of the family and several additional songs never before published.],1866,London
1596465,"Harlequin Hydaspes; or, The Greshamite; a mock opera [in three acts, in prose and verse. By Mrs. Aubert?]",1719,London
1597130,"Hell on the Border; He hanged eighty-eight men. A history of the great United States Criminal Court at Fort Smith, Arkansas, and of crime and criminals in the Indian Territory, and the trial and punishment thereof before ... Judge Isaac C. Parker, “The Terror of Lawbreakers,” and by the courts of said Territory, embracing the leading sentences and charges to grand and petit juries deliver'd by the world famous jurist, etc. (By S. W. Harman. Compiled by C. P. Sterns.)",1898,Fort Smith
1598041,"Childe Harold's Monitor; or, Lines occasioned by the last canto of Childe Harold, including hints to other contemporaries. [By Francis Hodgson.]",1818,London
1598525,"The Bards of Galloway: a collection of poems, songs, ballads, &c., by natives of Galloway. Edited, with an introduction and notes, by M. McL. Harper. Illustrated by T. Faed, ... J. Faed, ... and other Galloway Artists",1889,Dalbeattie
1598527,"Rambles in Galloway: topographical, historical, traditional, and biographical. ... With illustrations ... by Faed, etc",1876,Edinburgh
1599139,"The Petticoat Colonel; or, all right at last. A comic interlude. (Adapted from the French.) With original songs",1831,London
1599601,The Rose of Castile: opera in three acts [and in prose],1857,London
1599605,"A new and original sporting and spectacular drama entitled: The Derby Winner, written by Sir Augustus Harris, C. Raleigh and H. Hamilton",1895,London
1600530,"Logs for the Christmas Fire. A selection of tales ... in prose and verse, riddles, charades, ... jokes, etc. By ... J. H. ... H. J. Hatch, ... and J. F. T. Wiseman. [With illustrations.]",1876,London
1600641,Letters from the Scenes of the recent Massacres in Armenia,1897,London
1601049,"The Mistakes, or, the false report: a tragi-comedy ... by Mr J. H. [in five acts, in verse and in prose. Part of the fifth act by W. Mountfort]. The Prologue ... by Mr Dryden. The Epilogue by Mr Tate",1691,London
1602429,The Queen of the Arena and other stories ... illustrated by Millais and others,1880,London
1603373,Spain in History ... Introduction by G. M. Adam. Revised and enlarged,1898,Akron
